OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,8,1556,סמוך למשמר איילון,שטח פתוח,0,8596439,פנאי/טבע/ספורט,0,3,1,5,10,1,5,11,0,16,15,3,0,0,6,11,0.930617953804079,202308,13280.577074940432794,8596438.492615006864071
-1,1,2517,דבירה,מגורים,999,8571416,מגורים,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0.116666835739280,202308,13619.682606302545537,8571416.149785209447145
-1,14,763,אשדוד,מגורים,7010,350466,מגורים,70,1,1,1,13,10,7,6,2,15,20,1,1,0,13,19,39.946790063922371,202308,3089.339528933217935,350466.207111944851931
-1,2,2135,מנרה משגב עם מרגליות,מגורים,984,16312755,מגורים,0,1,0,0,3,0,0,3,0,3,3,0,0,0,1,1,0.122603446600926,202308,29200.972846139062312,16312755.109650343656540
-1,2,1405,בית שמש,שטח פתוח,0,625566,פנאי/טבע/ספורט,2610,3,0,0,5,0,1,4,0,5,4,0,0,0,4,4,3.197102622819308,202308,4329.554611783371001,625566.406822542194277
-1,13,356,הוד השרון,מגורים,4803,1078427,מגורים,9700,1,1,3,15,4,2,9,8,19,25,4,1,1,12,21,12.054590662714935,202308,5151.167686146646702,1078427.328122325474396
-1,21,2047,פקיעין חדשה פקיעין (בוקייעה),מגורים,6362,7550837,מגורים,0,1,1,4,50,1,14,40,1,55,43,0,2,0,33,39,2.781148598074406,202308,17775.697925961008877,7550837.094623368233442
-1,5,998,רמת גן,מגורים,493,589850,מגורים,8600,1,0,1,4,1,1,3,1,5,8,2,0,1,5,8,8.476724728543269,202308,3377.127271066516641,589850.462309309164993
-1,49,1649,אריאל,מגורים,9040,2474450,מגורים,0,1,4,9,71,10,14,59,11,84,92,7,3,1,53,72,19.802380881393077,202308,7106.526909881720712,2474449.930717265233397
-1,43,2354,אופקים,מגורים,29022,10542599,מגורים,31,1,2,12,57,13,11,53,6,71,74,1,1,3,46,60,4.078690669493964,202308,13919.853303134279486,10542598.957457818090916
-1,12,600,רחובות,תעשיה,0,358796,תעשיה/מסחר/מתקנים,8400,4,0,2,19,1,5,14,2,21,21,0,3,1,13,17,33.445229977413348,202308,3679.906874817361768,358795.559429670218378
-1,26,1242,ירושלים,מגורים,4387,296113,מגורים,3000,1,1,5,45,5,10,32,8,51,46,7,1,0,27,38,87.804458050122605,202308,3364.935794201702265,296112.527511508262251
-1,7,2614,שלווה במדבר,מוסדי,0,539187686,מוסדי/ציבורי,0,2,3,2,11,0,2,13,1,16,13,0,0,0,7,9,0.012982492329175,202308,134889.445233630394796,539187686.194048047065735
-1,12,193,רמת גן,מגורים+ מכללה אקדמאית,4814,257200,מגורים,8600,1,0,1,15,2,2,12,2,16,22,4,1,1,8,18,46.656220031367880,202308,2722.168703218553219,257200.433124075818341
-1,10,1884,מועצה אזורית זבולון,שטח פתוח,0,2018528,פנאי/טבע/ספורט,0,3,1,0,15,0,2,13,1,16,20,1,2,0,14,18,4.954105197185499,202308,7793.167536563481008,2018527.988804345251992
-1,2,835,אביחיל,מגורים,1410,1429845,מגורים,0,1,0,0,3,0,0,3,0,3,4,0,1,0,0,2,1.398752803664145,202308,5827.813225747848264,1429845.212650040397421
-1,59,2207,עפולה,מגורים,8325,4566177,מגורים,7700,1,3,8,98,20,17,82,10,109,101,1,6,2,51,69,12.921092353272289,202308,11895.835229402528057,4566177.408758954145014
-1,4,1477,מבשרת ציון,מגורים,2776,748866,מגורים,1015,1,0,1,4,0,0,3,2,5,7,2,0,0,4,6,5.341412037102679,202308,3553.110137037554978,748865.650546162272803
-1,7,428,פתח תקווה,מגורים,2308,342184,מגורים,7900,1,0,1,6,2,0,4,3,7,10,2,0,0,8,10,20.456838978338041,202308,2446.167070255776252,342183.853889272606466
-1,2,1095,ירושלים,מגורים,9193,1023568,מגורים,3000,1,0,1,3,0,0,4,0,4,5,0,1,0,3,5,1.953949218252593,202308,4321.166724428630914,1023568.054541658028029
-1,27,46,תל אביב -יפו,פנאי ונופש,193,615453,פנאי/טבע/ספורט,5000,3,1,7,23,11,5,24,1,31,49,6,2,6,16,34,43.870136147386582,202308,3539.081138234064383,615452.842664780211635
-1,3,1721,חיפה,מגורים,5627,963890,מגורים,4000,1,0,1,2,1,0,2,1,3,6,0,0,0,5,6,3.112387480325719,202308,4157.432768598742769,963890.267186797340401
-1,9,672,נתניה,מגורים,3546,244350,מגורים,7400,1,0,1,8,4,1,3,4,9,14,2,0,0,6,10,36.832467998237931,202308,2398.160258580583104,244349.631972274044529
-1,6,2300,עכו,מוסדות ציבור+ מכללה אקדמאית,0,961427,מוסדי/ציבורי,7600,2,0,2,9,0,0,9,2,11,11,2,0,0,6,9,6.240721470591629,202308,4308.159175203811174,961427.301037870580330
-1,23,1314,שורש שואבה בית מאיר,מגורים,2782,12711101,מגורים,0,1,2,12,41,0,6,41,8,55,56,5,7,0,26,41,1.809441976320616,202308,20345.778873721403215,12711101.157700024545193
-1,18,265,קריית אונו,מגורים,5785,675566,מגורים,2620,1,1,2,21,4,2,17,5,24,34,2,0,0,16,25,26.644314503675318,202308,3834.220434529898739,675566.263771472848020
-1,0,1956,שפרעם,מגורים,5704,985733,מגורים,8800,1,,,,,,,,,,,,,,,0.000000000000000,202308,5089.585337580771011,985732.628947753342800
-1,30,907,נחשונים,מגורים,399,4138845,מגורים,0,1,0,5,55,1,11,47,2,60,64,3,6,0,35,49,7.248399368628634,202308,9667.553675339970141,4138844.795147631317377
-1,1,1574,טולכרם,לא ידוע,0,29023578,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,0,0,2,2,0.034454745195895,202308,24450.274866717365512,29023578.445129308849573
-1,5,2535,שרשרת שיבולים מעגלים גבעולים מלילות,מגורים,3409,15543072,מגורים,0,1,0,1,9,1,0,8,2,10,9,0,0,0,2,2,0.321686727717744,202308,20984.442157463487092,15543072.092135334387422
-1,11,525,ראשון לציון,מגורים,9539,796860,מגורים,8300,1,0,2,18,1,3,15,2,20,20,2,2,1,11,17,13.804186867130042,202308,3663.298106323133197,796859.685099797090515
-1,3,2137,קריית שמונה,תעשיה,0,2755818,תעשיה/מסחר/מתקנים,2800,4,0,0,10,0,3,6,1,10,7,0,0,0,3,3,1.088605830422332,202308,8267.136350066861269,2755818.420369961299002
-1,3,1167,ירושלים,מגורים,3705,253350,מגורים,3000,1,0,3,0,3,1,1,1,3,3,0,0,0,2,3,11.841305354687030,202308,2462.294090244687141,253350.446605326258577
-1,39,374,רעננה,מגורים,8211,507454,מגורים,8700,1,0,4,43,17,13,21,13,47,64,5,1,2,34,48,76.854190084163562,202308,2983.968611688149849,507454.440119541017339
-1,23,1793,שטח ללא שיפוט,שטח פתוח,0,678233,פנאי/טבע/ספורט,0,3,0,1,55,1,14,35,7,56,45,0,0,0,30,37,33.911630731467277,202308,3777.349278207519092,678233.381995925097726
-1,16,1000,רמת גן,תעשיה ומסחר,0,222089,תעשיה/מסחר/מתקנים,8600,4,0,7,15,0,1,19,2,22,39,7,1,0,19,35,72.043311104427460,202308,1998.874475315483323,222088.626337674155366
